Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,26-Sep-25,30-Sep-25,CE,25700,2.3,3.4,2.05,2.8,2.5,2.8,1022476,19710278.6,2053.7,7141875,-1116300,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,26350,1.4,1.8,1,1.4,1.3,1.4,199663,3946034.82,194.78,2355600,865200,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,22000,2900,2900,2661.1,2688.3,2702.55,2688.3,1389,25789.61,2871.11,153300,-63525,24654.7
NIFTY,26-Sep-25,30-Sep-25,CE,25750,1.8,3.2,0.9,2.6,2.25,2.6,557348,10764832.48,1049.23,2341950,-450750,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23400,1484.9,1484.9,1320,1320,1320,1301.8,16,297.93,17.13,1275,1200,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23500,1360,1360,1219.65,1234.9,1235.2,1234.9,194,3599.21,179.96,14625,14400,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24300,640.1,650.95,453.65,472.75,482.3,472.75,765,14252,309.88,34350,32850,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25700,11.4,16.55,7,8.3,7.9,8.3,38005,732779.54,233.16,582450,-54900,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23750,1090,1096,978.25,986.9,995.6,986.9,13,241.42,9.86,525,525,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25050,115,123.8,51.05,53.4,51.55,53.4,35051,660379.46,1858.8,391575,142350,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25900,5.15,6.05,4.75,5.7,5.85,5.7,22536,437851.22,89.42,538500,138075,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26700,11,11,1.45,1.8,1.65,1.8,6964,139463.45,9.35,237225,117300,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,22850,-,-,-,1889,-,1846.05,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26100,5.25,5.4,3.3,4.25,4.7,4.25,6347,124261.23,18.7,150600,52050,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26600,1.8,5.35,1.45,1.9,1.5,1.9,10485,209190.93,15.18,524325,273600,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26900,1.75,2.35,1.3,1.85,1.55,1.85,349,7041.53,0.46,13275,-6000,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26250,2.95,4.3,2.4,3.45,2.8,3.45,2321,45700.24,5.55,31350,-13050,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26650,1.85,2.95,1.45,2.1,1.85,2.1,249,4977.21,0.32,29625,150,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24050,711.05,711.05,709.8,710.2,710.35,710.2,8,148.56,4.26,600,600,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25850,8.6,8.6,5.3,6.35,5.3,6.35,5624,109060.62,25.32,128925,36750,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23100,-,-,-,1658.15,-,1597.4,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25800,5.5,8.75,5.5,6.95,6.8,6.95,31134,602596.17,153.27,622875,13725,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23450,1286.6,1287.65,1286.6,1287.15,1287.3,1287.15,4,74.21,3.86,300,300,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26350,3.9,4,2.25,3.25,2.7,3.25,337,6660.69,0.73,19050,-5475,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24450,500,500,335,351.1,354.8,351.1,358,6662.31,97.48,9225,9075,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23250,1492.55,1492.55,1492.55,1492.55,1492.55,1492.55,1,18.56,1.12,75,75,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24350,593.05,593.05,418.9,431.45,435,431.45,86,1599.44,28.86,3375,3375,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26850,1.9,2.85,1.15,2.05,2.05,2.05,88,1772.22,0.12,19725,225,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23650,1091.45,1093.1,1090.7,1092.1,1093.1,1092.1,8,148.45,6.55,750,600,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23200,-,-,-,1951.5,1951.5,1498.4,-,-,-,-,-,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25200,61.4,63.8,30.05,31.55,31.4,31.55,107245,2030298.75,3368.25,1696200,321525,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25400,34.25,34.25,16.1,17.25,17.35,17.25,66806,1273692.45,1038.15,813825,-24975,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25300,39.35,44.8,21.85,23.2,22.75,23.2,91928,1746298.37,1964.57,1597125,408375,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23900,986,1004,855,855,855,831.6,33,615.43,23.9,1500,975,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23950,805.9,806.6,805.1,805.9,805.95,805.9,8,148.54,4.84,600,600,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25450,24,24,14.1,15.1,14.95,15.1,17123,327051.09,215.83,225225,20325,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25250,52.55,52.55,25.85,26.95,26.1,26.95,29932,567634.31,797.06,392625,92025,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,27000,1.45,2.15,1.3,1.85,1.6,1.85,8939,181026.33,11.58,403575,57975,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24850,211.05,214.45,105,110.35,111.75,110.35,33241,623140.36,3611.22,378525,327525,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,26150,3.95,5.4,2.45,4.4,3.6,4.4,963,18889.59,2.75,51375,-1350,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25550,19.65,19.65,10.6,11.85,10.9,11.85,16411,314626.4,150.61,336225,117975,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24250,660,660,500,514.75,524.55,514.75,28,521.08,11.83,1425,1425,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,23800,1095,1095,927.05,945.05,945.05,945.05,62,1150.36,43.66,1650,975,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,25650,10,11,8,9.25,9.25,9.25,12662,243671.48,86.25,236475,78825,24654.7
NIFTY,26-Sep-25,07-Oct-25,CE,24100,818,818,630.15,649.8,657,649.8,176,3275.89,94.69,10125,9150,24654.7
