ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change
27-Jun-2028,Put,22000,4.333333333333333,0.0,470.05,0.0,4.333333333333333,0.0,0.0,0.0
26-Dec-2028,Put,22000,5.0,0.0,447.0,0.0,5.0,0.0,0.0,0.0
26-Jun-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-Dec-2029,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Jun-2030,Put,22000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Call,22600,122.0,-33.0,3435.0,170.72,155.0,0.0,-33.0,170.72
28-Oct-2025,Put,22600,54247.0,-9192.0,1.0,95.92,63439.0,44.86,-9192.0,51.06
28-Oct-2025,Call,22650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Put,22650,6833.0,-30.0,1.0,94.53,6863.0,43.9,-30.0,50.63
28-Oct-2025,Call,22700,32.0,-1.0,3325.0,159.46,33.0,74.15,-1.0,85.31
28-Oct-2025,Put,22700,17583.0,-426.0,1.1,94.03,18009.0,45.35,-426.0,48.68
25-Nov-2025,Call,22700,27.0,25.0,3440.0,0.0,2.0,0.0,25.0,0.0
25-Nov-2025,Put,22700,4489.0,127.0,9.0,23.53,4362.0,21.06,127.0,2.4700000000000024
28-Oct-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-Oct-2025,Put,22750,547.0,-93.0,1.25,93.84,640.0,43.34,-93.0,50.5
25-Nov-2025,Call,22750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-Nov-2025,Put,22750,169.0,0.0,7.1,22.46,169.0,20.95,0.0,1.5100000000000016
28-Oct-2025,Call,22800,302.0,-728.0,3229.0,158.04,1030.0,0.0,-728.0,158.04
