ExpiryDate,OptionType,StrikePrice,OpenInterest,ChangeInOI,LTP,IV,OpenInterest_prev,IV_prev,OI_Daily_Change,IV_Daily_Change,date
30-Sep-2025,Put,23000,58984.0,5978.0,1.1,26.62,58984.0,26.62,0.0,0.0,2025-09-26
07-Oct-2025,Call,23000,189.0,189.0,1994.95,25.08,189.0,25.08,0.0,0.0,2025-09-26
07-Oct-2025,Put,23000,2454.0,327.0,3.1,19.83,2454.0,19.83,0.0,0.0,2025-09-26
28-Oct-2025,Call,23000,4620.0,673.0,2087.0,0.0,4620.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23000,14859.0,591.0,13.8,15.82,14859.0,15.82,0.0,0.0,2025-09-26
25-Nov-2025,Call,23000,30.0,9.0,2249.7,0.0,30.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23000,3527.0,12.0,35.35,14.92,3527.0,14.92,0.0,0.0,2025-09-26
30-Dec-2025,Call,23000,6658.333333333333,27.0,2421.0,0.0,6658.333333333333,0.0,0.0,0.0,2025-09-26
30-Dec-2025,Put,23000,35193.333333333336,652.0,68.35,14.9,35193.333333333336,14.9,0.0,0.0,2025-09-26
31-Mar-2026,Put,23000,6356.0,218.0,135.25,15.0,6356.0,15.0,0.0,0.0,2025-09-26
30-Jun-2026,Call,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Jun-2026,Put,23000,200.33333333333337,3.0,218.0,16.1,200.33333333333337,16.1,0.0,0.0,2025-09-26
29-Dec-2026,Call,23000,64.0,0.0,3900.0,0.0,64.0,0.0,0.0,0.0,2025-09-26
29-Dec-2026,Put,23000,818.3333333333334,87.33333333333333,400.0,18.58,818.3333333333334,18.58,0.0,0.0,2025-09-26
29-Jun-2027,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Dec-2027,Put,23000,38.0,0.0,635.05,21.53,38.0,21.53,0.0,0.0,2025-09-26
27-Jun-2028,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
26-Dec-2028,Put,23000,44.0,0.0,675.05,0.0,44.0,0.0,0.0,0.0,2025-09-26
26-Jun-2029,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
24-Dec-2029,Put,23000,32.0,0.0,670.0,0.0,32.0,0.0,0.0,0.0,2025-09-26
25-Jun-2030,Put,23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23050,1.0,0.0,1811.95,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,23050,888.0,-126.0,0.95,25.58,888.0,25.58,0.0,0.0,2025-09-26
07-Oct-2025,Call,23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,23050,67.0,40.0,3.4,19.6,67.0,19.6,0.0,0.0,2025-09-26
28-Oct-2025,Call,23050,1.0,0.0,1879.4,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23050,388.0,-7.0,15.65,15.85,388.0,15.85,0.0,0.0,2025-09-26
25-Nov-2025,Call,23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23100,33.0,-36.0,1900.0,50.2,33.0,50.2,0.0,0.0,2025-09-26
30-Sep-2025,Put,23100,2351.0,109.0,1.1,25.34,2351.0,25.34,0.0,0.0,2025-09-26
07-Oct-2025,Call,23100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,23100,149.0,14.0,3.25,19.03,149.0,19.03,0.0,0.0,2025-09-26
14-Oct-2025,Call,23100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23100,374.0,60.0,5.95,16.8,374.0,16.8,0.0,0.0,2025-09-26
28-Oct-2025,Call,23100,6.0,3.0,1993.1,0.0,6.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23100,857.0,0.0,16.2,15.61,857.0,15.61,0.0,0.0,2025-09-26
25-Nov-2025,Call,23100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23100,74.0,0.0,46.3,0.0,74.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23150,1.0,0.0,1716.6,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Put,23150,327.0,-61.0,1.2,24.94,327.0,24.94,0.0,0.0,2025-09-26
07-Oct-2025,Call,23150,0.0,0.0,1985.25,42.3,0.0,42.3,0.0,0.0,2025-09-26
07-Oct-2025,Put,23150,25.0,16.0,3.4,18.68,25.0,18.68,0.0,0.0,2025-09-26
14-Oct-2025,Call,23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23150,8.0,0.0,5.8,0.0,8.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Call,23150,1.0,0.0,1790.35,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23150,321.0,0.0,16.55,0.0,321.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Call,23150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23150,1.0,0.0,107.25,0.0,1.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23200,35.0,-13.0,1820.0,51.88,35.0,51.88,0.0,0.0,2025-09-26
30-Sep-2025,Put,23200,7224.0,-1484.0,1.05,23.94,7224.0,23.94,0.0,0.0,2025-09-26
07-Oct-2025,Call,23200,0.0,0.0,1951.5,42.99,0.0,42.99,0.0,0.0,2025-09-26
07-Oct-2025,Put,23200,209.0,95.0,3.8,18.5,209.0,18.5,0.0,0.0,2025-09-26
14-Oct-2025,Call,23200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23200,24.0,1.0,6.75,16.33,24.0,16.33,0.0,0.0,2025-09-26
28-Oct-2025,Call,23200,9.0,7.0,1955.0,18.15,9.0,18.15,0.0,0.0,2025-09-26
28-Oct-2025,Put,23200,2961.0,-2.0,18.4,15.31,2961.0,15.31,0.0,0.0,2025-09-26
25-Nov-2025,Call,23200,6.0,0.0,2450.0,0.0,6.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23200,103.0,1.0,38.6,14.11,103.0,14.11,0.0,0.0,2025-09-26
30-Sep-2025,Call,23250,2.0,-1.0,1845.0,62.5,2.0,62.5,0.0,0.0,2025-09-26
30-Sep-2025,Put,23250,791.0,68.0,1.05,23.3,791.0,23.3,0.0,0.0,2025-09-26
07-Oct-2025,Call,23250,0.0,0.0,1901.9,42.19,0.0,42.19,0.0,0.0,2025-09-26
07-Oct-2025,Put,23250,28.0,28.0,3.95,18.13,28.0,18.13,0.0,0.0,2025-09-26
14-Oct-2025,Call,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Call,23250,1.0,0.0,1702.25,0.0,1.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23250,51.0,-12.0,17.75,14.87,51.0,14.87,0.0,0.0,2025-09-26
25-Nov-2025,Call,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
25-Nov-2025,Put,23250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
30-Sep-2025,Call,23300,64.0,0.0,1750.0,54.6,64.0,54.6,0.0,0.0,2025-09-26
30-Sep-2025,Put,23300,4639.0,866.0,1.2,23.0,4639.0,23.0,0.0,0.0,2025-09-26
07-Oct-2025,Call,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
07-Oct-2025,Put,23300,347.0,225.0,3.7,17.5,347.0,17.5,0.0,0.0,2025-09-26
14-Oct-2025,Call,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
14-Oct-2025,Put,23300,23.0,6.0,7.15,15.68,23.0,15.68,0.0,0.0,2025-09-26
20-Oct-2025,Call,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
20-Oct-2025,Put,23300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Call,23300,2.0,0.0,1520.9,0.0,2.0,0.0,0.0,0.0,2025-09-26
28-Oct-2025,Put,23300,1303.0,-36.0,20.15,14.89,1303.0,14.89,0.0,0.0,2025-09-26
04-Nov-2025,Put,23300,1.0,1.0,29.7,14.94,1.0,14.94,0.0,0.0,2025-09-26
25-Nov-2025,Call,23300,3.0,0.0,2300.0,0.0,3.0,0.0,0.0,0.0,2025-09-26
